ProgramNo,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Xmin,Xmax,Ymin,Ymax,AngleMin,AngleMax,ProductName,ProductCode,TotalItems,GridRows,GridColumns,PositionID_0,PositionID_1,PositionID_2,PositionID_3,PositionID_4,PositionID_5,PositionID_6,PositionID_7,PositionID_8,PositionID_9,PositionID_10,PositionID_11,PositionID_12,Name_0,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Name_10,Name_11,Name_12,Description_0,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Description_7,Description_8,Description_9,Description_10,Description_11,Description_12,IsEnabled_0,IsEnabled_1,IsEnabled_2,IsEnabled_3,IsEnabled_4,IsEnabled_5,IsEnabled_6,IsEnabled_7,IsEnabled_8,IsEnabled_9,IsEnabled_10,IsEnabled_11,IsEnabled_12
1,6,5,4,3,2,1,7,8,9,10,11,12,2.57,56.04,317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,45.45,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.13,-0.13,0.13,-0.80,0.80,Default Product 001,DEF-001,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Position Home(0),Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,null,null,null,null,null,null,null,null,null,null,null,null,null,True,True,True,True,True,True,True,True,True,True,True,True,True
2,6,5,4,3,2,1,7,8,9,10,11,12,2.57,56.04,317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,45.45,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.13,-0.13,0.13,-0.80,0.80,Default Product 002,DEF-002,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Position Home(0),Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,null,null,null,null,null,null,null,null,null,null,null,null,null,True,True,True,True,True,True,True,True,True,True,True,True,True
3,6,5,4,3,2,1,7,8,9,10,11,12,2.57,56.04,317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,45.45,102.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.13,0.13,-0.13,0.13,-0.80,0.80,Default Product 003,DEF-003,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Position Home(0),Position 1,Position 2,Position 3,Position 4,Position 5,Position 6,Position 7,Position 8,Position 9,Position 10,Position 11,Position 12,null,null,null,null,null,null,null,null,null,null,null,null,null,True,True,True,True,True,True,True,True,True,True,True,True,True
